time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:16:55,2020-10-09 17:16:55,39.00350,-77.40683,11,335,116.74,"09 4.60 25 117 25"
2020-10-09 17:21:00,2020-10-09 17:21:00,39.01800,-77.40367,20,2,230.73,"09 4.60 26 231 27"
2020-10-09 17:24:54,2020-10-09 17:24:54,39.03400,-77.39967,22,17,328.88,"10 4.52 24 329 29"
2020-10-09 17:26:55,2020-10-09 17:26:55,39.04050,-77.39767,22,13,461.77,"10 4.68 24 462 30"
2020-10-09 17:28:59,2020-10-09 17:28:59,39.04717,-77.39617,28,13,962.86,"10 4.72 20 963 31"
2020-10-09 17:30:57,2020-10-09 17:30:57,39.05317,-77.39383,19,24,1216.76,"10 4.74 17 1217 32"
2020-10-09 17:32:56,2020-10-09 17:32:56,39.05817,-77.39183,15,27,1308.81,"10 4.74 17 1309 33"
2020-10-09 17:34:56,2020-10-09 17:34:56,39.06183,-77.38817,13,48,1404.82,"10 4.68 16 1405 34"
2020-10-09 17:36:55,2020-10-09 17:36:55,39.06467,-77.38350,15,46,1503.88,"10 4.68 14 1504 35"
2020-10-09 17:38:58,2020-10-09 17:38:58,39.06683,-77.38100,4,31,1630.07,"10 4.66 15 1630 36"
2020-10-09 17:40:53,2020-10-09 17:40:53,39.06667,-77.37967,9,115,1760.83,"10 4.76 17 1761 37"
2020-10-09 17:42:53,2020-10-09 17:42:53,39.06533,-77.37533,15,111,1848.92,"10 4.70 17 1849 38"
2020-10-09 17:44:53,2020-10-09 17:44:53,39.06350,-77.36933,22,113,1940.05,"10 4.68 17 1940 39"
2020-10-09 17:46:54,2020-10-09 17:46:54,39.05933,-77.36050,28,125,2083.92,"10 4.70 19 2084 40"
2020-10-09 17:50:59,2020-10-09 17:50:59,39.04650,-77.34950,26,153,2310.08,"10 4.68 18 2310 42"
2020-10-09 17:53:01,2020-10-09 17:53:01,39.03983,-77.34483,24,145,2421.94,"10 4.76 20 2422 43"
2020-10-09 17:54:57,2020-10-09 17:54:57,39.03417,-77.33817,26,132,2557.88,"10 4.70 20 2558 44"
2020-10-09 17:56:55,2020-10-09 17:56:55,39.02817,-77.33050,28,131,2670.96,"10 4.72 18 2671 45"
2020-10-09 17:58:52,2020-10-09 17:58:52,39.02283,-77.32133,30,125,2809.95,"10 4.74 17 2810 46"
2020-10-09 18:01:01,2020-10-09 18:01:01,39.01817,-77.31200,26,120,2951.07,"10 4.72 16 2951 47"
2020-10-09 18:02:57,2020-10-09 18:02:57,39.01450,-77.30183,28,112,3083.05,"10 4.72 15 3083 48"
2020-10-09 18:05:00,2020-10-09 18:05:00,39.01033,-77.29183,30,114,3204.06,"09 4.72 17 3204 49"
2020-10-09 18:06:56,2020-10-09 18:06:56,39.00650,-77.28033,35,112,3315.00,"09 4.78 19 3315 50"
2020-10-09 18:08:57,2020-10-09 18:08:57,39.00167,-77.26717,37,124,3422.90,"09 4.70 16 3423 51"
2020-10-09 18:10:58,2020-10-09 18:10:58,38.99500,-77.25500,39,124,3546.04,"09 4.78 15 3546 52"
2020-10-09 18:12:58,2020-10-09 18:12:58,38.98800,-77.24217,41,125,3685.03,"09 4.76 14 3685 53"
2020-10-09 18:15:00,2020-10-09 18:15:00,38.98017,-77.22833,46,127,3837.13,"09 4.72 12 3837 54"
2020-10-09 18:16:58,2020-10-09 18:16:58,38.97017,-77.21433,52,137,3970.93,"09 4.76 13 3971 55"
2020-10-09 18:18:52,2020-10-09 18:18:52,38.95750,-77.20067,56,143,4108.09,"09 4.82 14 4108 56"
