time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:11:21,2020-10-09 17:13:21,39.04183,-77.55117,0,234,106.98,"07 4.50 29 107 9"
2020-10-09 17:19:05,2020-10-09 17:19:05,39.04683,-77.54933,15,36,263.96,"08 4.60 24 264 12"
2020-10-09 17:23:06,2020-10-09 17:23:06,39.05417,-77.54350,15,39,721.77,"08 4.68 20 722 14"
2020-10-09 17:25:06,2020-10-09 17:25:06,39.05900,-77.53917,20,32,1034.80,"08 4.74 18 1035 15"
2020-10-09 17:27:11,2020-10-09 17:27:11,39.06333,-77.53383,17,42,1225.91,"08 4.74 17 1226 16"
2020-10-09 17:29:09,2020-10-09 17:29:09,39.06750,-77.52867,17,39,1271.93,"08 4.76 17 1272 17"
2020-10-09 17:31:10,2020-10-09 17:31:10,39.07167,-77.52400,15,45,1317.04,"08 4.70 16 1317 18"
2020-10-09 17:33:02,2020-10-09 17:33:02,39.07433,-77.51967,11,52,1497.79,"08 4.74 16 1498 19"
2020-10-09 17:37:08,2020-10-09 17:37:08,39.07417,-77.51500,7,110,1744.98,"10 4.72 16 1745 21"
2020-10-09 17:39:03,2020-10-09 17:39:03,39.07300,-77.51067,13,108,1884.88,"10 4.76 16 1885 22"
2020-10-09 17:41:03,2020-10-09 17:41:03,39.07033,-77.50350,24,121,2012.90,"10 4.70 16 2013 23"
2020-10-09 17:43:09,2020-10-09 17:43:09,39.06567,-77.49550,22,139,2141.83,"10 4.72 17 2142 24"
2020-10-09 17:45:05,2020-10-09 17:45:05,39.05917,-77.49100,28,159,2307.95,"10 4.72 16 2308 25"
2020-10-09 17:47:11,2020-10-09 17:47:11,39.05167,-77.48617,26,152,2393.90,"10 4.72 17 2394 26"
2020-10-09 17:49:10,2020-10-09 17:49:10,39.04533,-77.48050,26,135,2525.88,"10 4.76 16 2526 27"
2020-10-09 17:51:11,2020-10-09 17:51:11,39.03950,-77.47333,30,135,2653.89,"10 4.78 17 2654 28"
2020-10-09 17:53:04,2020-10-09 17:53:04,39.03383,-77.46467,31,124,2796.84,"10 4.74 16 2797 29"
2020-10-09 17:57:09,2020-10-09 17:57:09,39.02417,-77.44517,30,116,3054.10,"10 4.76 13 3054 31"
2020-10-09 17:59:07,2020-10-09 17:59:07,39.01950,-77.43500,33,119,3197.05,"10 4.76 13 3197 32"
2020-10-09 18:01:06,2020-10-09 18:01:06,39.01483,-77.42333,37,113,3339.08,"10 4.76 12 3339 33"
2020-10-09 18:03:06,2020-10-09 18:03:06,39.00950,-77.41067,37,125,3470.15,"10 4.78 12 3470 34"
2020-10-09 18:05:05,2020-10-09 18:05:05,39.00233,-77.39833,41,125,3602.13,"09 4.78 12 3602 35"
2020-10-09 18:07:08,2020-10-09 18:07:08,38.99483,-77.38567,41,124,3731.06,"09 4.80 10 3731 36"
2020-10-09 18:09:03,2020-10-09 18:09:03,38.98667,-77.37233,48,133,3873.09,"09 4.80 11 3873 37"
2020-10-09 18:11:03,2020-10-09 18:11:03,38.97600,-77.35883,52,143,4012.08,"09 4.82 8 4012 38"
2020-10-09 18:13:03,2020-10-09 18:13:03,38.96267,-77.34517,57,143,4141.93,"09 4.80 11 4142 39"
2020-10-09 18:15:04,2020-10-09 18:15:04,38.94933,-77.33167,54,143,4280.00,"09 4.82 9 4280 40"
2020-10-09 18:17:06,2020-10-09 18:17:06,38.93667,-77.31900,52,132,4397.96,"09 4.84 8 4398 41"
2020-10-09 18:19:09,2020-10-09 18:19:09,38.92600,-77.30200,56,125,4514.09,"09 4.80 10 4514 42"
2020-10-09 18:21:11,2020-10-09 18:21:11,38.91667,-77.28433,54,122,4664.96,"09 4.78 8 4665 43"
2020-10-09 18:23:07,2020-10-09 18:23:07,38.90800,-77.26600,52,121,4785.06,"09 4.76 9 4785 44"
2020-10-09 18:25:05,2020-10-09 18:25:05,38.89983,-77.24850,54,125,4864.00,"09 4.80 8 4864 45"
2020-10-09 18:27:02,2020-10-09 18:27:02,38.88933,-77.23050,57,126,4941.11,"09 4.80 9 4941 46"
2020-10-09 18:29:11,2020-10-09 18:29:11,38.87983,-77.21167,56,120,5015.18,"09 4.78 11 5015 47"
2020-10-09 18:31:07,2020-10-09 18:31:07,38.87183,-77.19267,56,115,5109.06,"09 4.76 10 5109 48"
2020-10-09 18:33:10,2020-10-09 18:33:10,38.86467,-77.17350,54,114,5198.06,"09 4.76 10 5198 49"
2020-10-09 18:35:06,2020-10-09 18:35:06,38.85800,-77.15467,52,114,5277.00,"09 4.78 9 5277 50"
