time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:37:59,2020-10-09 17:37:59,44.88700,-93.04600,30,132,1260.96,"09 3.60 24 1261 3"
2020-10-09 17:39:32,2020-10-09 17:39:32,44.87350,-93.02783,37,133,1504.80,"09 3.86 24 1505 5"
2020-10-09 17:41:34,2020-10-09 17:41:34,44.86650,-93.01467,41,124,1591.97,"09 4.10 24 1592 6"
2020-10-09 17:47:31,2020-10-09 17:47:31,44.85250,-92.98283,48,121,1877.87,"09 4.12 22 1878 8"
2020-10-09 17:53:29,2020-10-09 17:53:29,44.83767,-92.92767,48,95,2152.80,"09 4.38 21 2153 11"
2020-10-09 17:58:36,2020-10-09 17:58:36,44.83850,-92.85800,57,89,2588.06,"09 4.50 22 2588 14"
2020-10-09 17:59:45,2020-10-09 17:59:45,44.83933,-92.83333,59,85,2709.98,"09 4.56 20 2710 15"
2020-10-09 18:06:26,2020-10-09 18:06:26,44.85133,-92.75700,65,70,3139.14,"09 4.64 17 3139 18"
2020-10-09 18:08:19,2020-10-09 18:08:19,44.85850,-92.73100,65,67,3261.97,"09 4.64 16 3262 19"
2020-10-09 18:11:37,2020-10-09 18:11:37,44.87417,-92.67517,74,67,3475.94,"08 4.60 15 3476 21"
2020-10-09 18:14:08,2020-10-09 18:14:08,44.88233,-92.64483,78,69,3639.92,"08 4.60 15 3640 22"
2020-10-09 18:20:40,2020-10-09 18:20:40,44.90283,-92.54600,85,77,4134.00,"09 4.76 10 4134 25"
2020-10-09 18:21:44,2020-10-09 18:21:44,44.90833,-92.51033,85,78,4297.07,"09 4.72 10 4297 26"
2020-10-09 18:28:45,2020-10-09 18:28:45,44.92167,-92.39517,96,83,4680.20,"09 4.86 6 4680 29"
2020-10-09 18:29:35,2020-10-09 18:29:35,44.92550,-92.35483,94,82,4792.07,"10 4.82 5 4792 30"
2020-10-09 18:31:51,2020-10-09 18:31:51,44.92967,-92.31433,96,82,4902.10,"11 4.82 4 4902 31"
