time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:18:56,2020-10-09 17:18:56,36.33217,-95.60467,15,335,395.94,"09 4.40 29 396 14"
2020-10-09 17:20:56,2020-10-09 17:20:56,36.33683,-95.60533,15,354,694.03,"09 4.28 27 694 15"
2020-10-09 17:23:00,2020-10-09 17:23:00,36.34267,-95.60333,30,31,944.88,"09 4.54 29 945 16"
2020-10-09 17:24:58,2020-10-09 17:24:58,36.35100,-95.59800,33,17,970.79,"09 4.50 29 971 17"
2020-10-09 17:27:00,2020-10-09 17:27:00,36.36017,-95.59333,30,14,852.83,"09 4.56 28 853 18"
2020-10-09 17:28:51,2020-10-09 17:28:51,36.36917,-95.58933,31,22,947.93,"09 4.52 31 948 19"
2020-10-09 17:30:55,2020-10-09 17:30:55,36.37983,-95.58300,41,23,1069.85,"09 4.54 31 1070 20"
2020-10-09 17:32:57,2020-10-09 17:32:57,36.39100,-95.57717,39,20,1182.93,"09 4.58 31 1183 21"
2020-10-09 17:38:58,2020-10-09 17:38:58,36.42800,-95.56033,46,16,1628.85,"09 4.54 29 1629 24"
2020-10-09 17:40:54,2020-10-09 17:40:54,36.44200,-95.55517,48,14,1757.78,"10 4.62 25 1758 25"
2020-10-09 17:43:00,2020-10-09 17:43:00,36.45467,-95.55117,39,11,1910.79,"09 4.62 26 1911 26"
2020-10-09 17:44:59,2020-10-09 17:44:59,36.46517,-95.54883,31,8,2031.80,"10 4.56 24 2032 27"
2020-10-09 17:48:53,2020-10-09 17:48:53,36.47583,-95.55250,11,344,2273.81,"10 4.60 23 2274 29"
2020-10-09 17:50:54,2020-10-09 17:50:54,36.47883,-95.55267,9,18,2383.84,"10 4.66 23 2384 30"
2020-10-09 17:52:58,2020-10-09 17:52:58,36.48000,-95.55083,4,67,2510.03,"10 4.66 22 2510 31"
2020-10-09 17:54:56,2020-10-09 17:54:56,36.48067,-95.54850,6,91,2635.91,"10 4.70 21 2636 32"
2020-10-09 17:56:55,2020-10-09 17:56:55,36.48000,-95.54617,7,122,2770.02,"10 4.64 21 2770 33"
2020-10-09 17:58:55,2020-10-09 17:58:55,36.47883,-95.54383,7,116,2902.00,"10 4.64 19 2902 34"
2020-10-09 18:00:54,2020-10-09 18:00:54,36.47733,-95.54050,11,124,3026.97,"10 4.60 20 3027 35"
2020-10-09 18:02:57,2020-10-09 18:02:57,36.47583,-95.53700,7,99,3137.92,"10 4.72 17 3138 36"
2020-10-09 18:04:52,2020-10-09 18:04:52,36.47750,-95.53250,13,65,3260.14,"10 4.70 19 3260 37"
