time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:28:06,2020-10-09 17:28:06,40.25617,-111.69550,11,351,1795.88,"09 4.50 29 1796 10"
2020-10-09 17:30:05,2020-10-09 17:30:05,40.26000,-111.69633,9,355,1867.81,"10 4.54 30 1868 11"
2020-10-09 17:34:12,2020-10-09 17:34:12,40.26700,-111.69467,13,15,2070.81,"11 4.60 27 2071 13"
2020-10-09 17:38:09,2020-10-09 17:38:09,40.27467,-111.68933,13,29,2272.89,"11 4.66 29 2273 15"
2020-10-09 17:40:14,2020-10-09 17:40:14,40.27833,-111.68667,13,27,2406.09,"11 4.64 25 2406 16"
2020-10-09 17:42:12,2020-10-09 17:42:12,40.28200,-111.68350,17,29,2563.98,"11 4.58 25 2564 17"
2020-10-09 17:44:13,2020-10-09 17:44:13,40.28683,-111.68017,20,28,2709.98,"10 4.68 23 2710 18"
2020-10-09 17:48:09,2020-10-09 17:48:09,40.30083,-111.67167,24,24,2961.13,"11 4.62 22 2961 20"
2020-10-09 17:50:11,2020-10-09 17:50:11,40.30750,-111.66683,24,30,3065.07,"11 4.72 20 3065 21"
2020-10-09 17:52:06,2020-10-09 17:52:06,40.31500,-111.66167,30,26,3246.12,"11 4.66 19 3246 22"
2020-10-09 17:54:06,2020-10-09 17:54:06,40.32267,-111.65583,28,30,3493.01,"12 4.66 18 3493 23"
2020-10-09 18:00:14,2020-10-09 18:00:14,40.33983,-111.63633,24,58,3974.90,"12 4.78 16 3975 26"
2020-10-09 18:04:15,2020-10-09 18:04:15,40.34800,-111.62117,20,56,4215.08,"12 4.80 12 4215 28"
2020-10-09 18:08:09,2020-10-09 18:08:09,40.35350,-111.60517,22,75,4251.05,"12 4.80 11 4251 30"
2020-10-09 18:10:13,2020-10-09 18:10:13,40.35383,-111.59717,17,102,4319.02,"12 4.74 10 4319 31"
2020-10-09 18:12:11,2020-10-09 18:12:11,40.35233,-111.59233,4,151,4529.02,"12 4.74 8 4529 32"
2020-10-09 18:14:10,2020-10-09 18:14:10,40.35067,-111.59150,7,178,4609.19,"12 4.82 8 4609 33"
2020-10-09 18:20:12,2020-10-09 18:20:12,40.34600,-111.58983,4,196,4688.13,"11 4.76 8 4688 36"
2020-10-09 18:22:07,2020-10-09 18:22:07,40.34450,-111.59033,6,195,4831.08,"11 4.78 8 4831 37"
2020-10-09 18:26:07,2020-10-09 18:26:07,40.34250,-111.59017,2,166,5015.18,"10 4.74 6 5015 39"
2020-10-09 18:30:10,2020-10-09 18:30:10,40.34333,-111.58700,6,61,5059.98,"10 4.76 9 5060 41"
