time,lasttime,lat,lng,speed,course,altitude-M,sat_track,voltage,Temp-C,altitude-m,unk4
10/9/20 17:20,10/9/20 17:20,46.27567,-119.2795,9,357,296.88,8,4.56,27,297,4
10/9/20 17:22,10/9/20 17:22,46.27883,-119.27933,11,360,369.72,10,4.46,25,370,5
10/9/20 17:24,10/9/20 17:24,46.28217,-119.279,11,16,443.79,10,4.36,24,444,6
10/9/20 17:26,10/9/20 17:26,46.286,-119.27767,13,10,510.84,10,4.52,27,511,7
10/9/20 17:28,10/9/20 17:28,46.2895,-119.27633,9,11,642.82,9,4.54,25,643,8
10/9/20 17:30,10/9/20 17:30,46.29267,-119.2745,11,31,744.93,10,4.56,25,745,9
10/9/20 17:32,10/9/20 17:32,46.2975,-119.26833,22,43,867.77,11,4.5,23,868,10
10/9/20 17:34,10/9/20 17:34,46.30283,-119.25933,33,54,991.82,11,4.5,23,992,11
10/9/20 17:36,10/9/20 17:36,46.31067,-119.24567,44,46,1091.79,11,4.44,26,1092,12
10/9/20 17:38,10/9/20 17:38,46.32,-119.2315,46,47,1143.91,11,4.64,24,1144,13
10/9/20 17:40,10/9/20 17:40,46.32933,-119.21683,44,47,1253.95,12,4.64,25,1254,14
10/9/20 17:42,10/9/20 17:42,46.3385,-119.20283,43,45,1390.8,12,4.56,24,1391,15
10/9/20 17:44,10/9/20 17:44,46.34717,-119.19,39,47,1552.04,12,4.38,23,1552,16
10/9/20 17:46,10/9/20 17:46,46.3545,-119.17817,33,47,1655.98,12,4.52,21,1656,17
10/9/20 17:48,10/9/20 17:48,46.36033,-119.1685,20,46,1737.06,11,4.66,21,1737,18
10/9/20 17:50,10/9/20 17:50,46.36433,-119.16183,20,52,1867.81,12,4.44,24,1868,19
10/9/20 17:52,10/9/20 17:52,46.3685,-119.15167,30,63,2022.96,12,4.64,23,2023,20
10/9/20 17:54,10/9/20 17:54,46.37117,-119.139,30,79,2152.8,12,4.42,24,2153,21
10/9/20 17:58,10/9/20 17:58,46.376,-119.11183,31,73,2349.09,12,4.54,20,2349,23
10/9/20 18:00,10/9/20 18:00,46.37917,-119.09683,35,70,2481.07,12,4.66,21,2481,24
10/9/20 18:02,10/9/20 18:02,46.383,-119.08167,37,71,2607.87,12,4.56,20,2608,25
10/9/20 18:06,10/9/20 18:06,46.39167,-119.05083,39,60,2820.01,12,4.72,19,2820,27
10/9/20 18:10,10/9/20 18:10,46.402,-119.0195,39,67,3108.05,12,4.56,18,3108,29
10/9/20 18:12,10/9/20 18:12,46.4065,-119.0045,35,66,3261.06,12,4.56,16,3261,30
10/9/20 18:14,10/9/20 18:14,46.411,-118.989,43,66,3385.11,12,4.72,15,3385,31
10/9/20 18:16,10/9/20 18:16,46.41633,-118.97017,48,67,3510.08,12,4.74,15,3510,32
10/9/20 18:18,10/9/20 18:18,46.42133,-118.94983,50,73,3635.96,11,4.78,11,3636,33
10/9/20 18:20,10/9/20 18:20,46.4255,-118.9275,54,75,3767.02,11,4.82,9,3767,34
10/9/20 18:22,10/9/20 18:22,46.4295,-118.9045,54,78,3890.16,11,4.7,9,3890,35
10/9/20 18:24,10/9/20 18:24,46.43317,-118.88017,59,75,4023.06,11,4.66,15,4023,36
10/9/20 18:28,10/9/20 18:28,46.441,-118.8305,57,73,4268.11,11,4.82,11,4268,38
10/9/20 18:30,10/9/20 18:30,46.4465,-118.80417,63,73,4411.98,10,4.72,8,4412,39
10/9/20 18:32,10/9/20 18:32,46.45183,-118.77683,67,71,4582.97,11,4.86,10,4583,40
10/9/20 18:34,10/9/20 18:34,46.45833,-118.7485,69,72,4737.2,11,4.72,9,4737,41
10/9/20 18:36,10/9/20 18:36,46.46417,-118.72017,67,72,4885.94,10,4.74,9,4886,42
10/9/20 18:38,10/9/20 18:38,46.47017,-118.692,70,75,5052.97,10,4.9,8,5053,43
10/9/20 18:40,10/9/20 18:40,46.47467,-118.66067,74,80,5221.22,10,4.74,8,5221,44
10/9/20 18:42,10/9/20 18:42,46.4785,-118.62883,74,80,5376.06,10,4.82,4,5376,45
10/9/20 18:46,10/9/20 18:46,46.48883,-118.56783,70,73,5680.25,10,4.92,2,5680,47
10/9/20 18:48,10/9/20 18:48,46.49567,-118.53883,69,71,5851.25,11,4.8,4,5851,48
10/9/20 18:50,10/9/20 18:50,46.50217,-118.51033,70,71,6011.27,11,4.88,-3,6011,49
10/9/20 18:52,10/9/20 18:52,46.5085,-118.48083,70,73,6189.27,11,4.78,-3,6189,50
10/9/20 18:54,10/9/20 18:54,46.5145,-118.45117,70,73,6386.17,11,4.92,-6,6386,51
10/9/20 18:56,10/9/20 18:56,46.521,-118.42167,72,71,6565.09,11,4.88,-6,6565,52
10/9/20 18:58,10/9/20 18:58,46.52833,-118.39167,70,68,6731.2,10,4.84,-6,6731,53
10/9/20 19:02,10/9/20 19:02,46.545,-118.34133,59,61,7086.3,11,4.96,-4,7086,55
10/9/20 19:04,10/9/20 19:04,46.55267,-118.3155,65,70,7242.35,11,5.02,-7,7242,56
10/9/20 19:06,10/9/20 19:06,46.55883,-118.28983,63,68,7399.32,11,4.9,-4,7399,57
10/9/20 19:08,10/9/20 19:08,46.56717,-118.264,65,58,7594.09,11,5.04,-9,7594,58
10/9/20 19:10,10/9/20 19:10,46.578,-118.24067,61,56,7794.35,11,5.04,-13,7794,59
10/9/20 19:12,10/9/20 19:12,46.5885,-118.2185,61,53,7953.15,11,4.94,-7,7953,60
10/9/20 19:14,10/9/20 19:14,46.59983,-118.19683,63,52,8120.18,11,5,-10,8120,61
10/9/20 19:16,10/9/20 19:16,46.6115,-118.17467,63,53,8337.19,11,5.08,-11,8337,62
