time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:24:48,2020-10-09 17:24:48,38.97717,-95.29350,37,19,484.02,"05 4.54 27 484 3"
2020-10-09 17:26:44,2020-10-09 17:26:44,38.98667,-95.28967,24,21,737.01,"05 4.56 24 737 4"
2020-10-09 17:28:41,2020-10-09 17:28:41,38.99617,-95.28350,44,33,852.83,"05 4.60 24 853 5"
2020-10-09 17:30:42,2020-10-09 17:30:42,39.00950,-95.27517,54,21,1080.82,"05 4.58 25 1081 6"
2020-10-09 17:32:47,2020-10-09 17:32:47,39.02633,-95.26717,52,22,1292.96,"05 4.56 25 1293 7"
2020-10-09 17:34:47,2020-10-09 17:34:47,39.04200,-95.25983,63,23,1471.88,"05 4.58 24 1472 8"
2020-10-09 17:36:47,2020-10-09 17:36:47,39.05717,-95.25050,54,23,1620.01,"05 4.58 23 1620 9"
2020-10-09 17:38:40,2020-10-09 17:38:40,39.07050,-95.24083,57,33,1792.83,"05 4.60 21 1793 10"
2020-10-09 17:40:38,2020-10-09 17:40:38,39.08150,-95.22833,41,56,1994.92,"05 4.62 21 1995 11"
2020-10-09 17:42:41,2020-10-09 17:42:41,39.08733,-95.21650,30,52,2239.06,"05 4.56 20 2239 12"
2020-10-09 17:44:46,2020-10-09 17:44:46,39.09117,-95.20617,33,58,2477.11,"05 4.62 19 2477 13"
2020-10-09 17:46:42,2020-10-09 17:46:42,39.09467,-95.19833,13,64,2709.06,"05 4.66 17 2709 14"
2020-10-09 17:48:42,2020-10-09 17:48:42,39.09817,-95.19283,19,61,2898.95,"05 4.68 15 2899 15"
2020-10-09 17:50:47,2020-10-09 17:50:47,39.09900,-95.18700,19,122,3065.98,"05 4.56 12 3066 16"
2020-10-09 17:52:45,2020-10-09 17:52:45,39.10017,-95.18233,11,55,3251.00,"05 4.72 12 3251 17"
2020-10-09 17:54:46,2020-10-09 17:54:46,39.10200,-95.17917,26,41,3404.92,"05 4.56 12 3405 18"
2020-10-09 17:56:38,2020-10-09 17:56:38,39.10217,-95.17183,22,86,3592.07,"05 4.58 11 3592 19"
2020-10-09 17:58:42,2020-10-09 17:58:42,39.09983,-95.16300,28,120,3794.15,"05 4.76 11 3794 20"
2020-10-09 18:00:44,2020-10-09 18:00:44,39.09633,-95.15467,28,108,3983.13,"05 4.76 9 3983 21"
2020-10-09 18:02:39,2020-10-09 18:02:39,39.09200,-95.14717,22,132,4173.93,"05 4.68 11 4174 22"
2020-10-09 18:04:39,2020-10-09 18:04:39,39.08683,-95.14083,28,147,4354.07,"05 4.82 9 4354 23"
2020-10-09 18:08:41,2020-10-09 18:08:41,39.07650,-95.12867,28,145,4783.23,"05 4.82 5 4783 25"
2020-10-09 18:10:47,2020-10-09 18:10:47,39.07183,-95.12183,19,119,4988.05,"05 4.80 5 4988 26"
2020-10-09 18:12:46,2020-10-09 18:12:46,39.06783,-95.11450,22,125,5188.00,"05 4.80 3 5188 27"
2020-10-09 18:14:47,2020-10-09 18:14:47,39.06317,-95.10567,28,109,5382.16,"05 4.84 3 5382 28"
2020-10-09 18:16:40,2020-10-09 18:16:40,39.05833,-95.09583,31,117,5576.01,"05 4.84 1 5576 29"
2020-10-09 18:18:41,2020-10-09 18:18:41,39.05383,-95.08650,26,117,5769.25,"05 4.84 1 5769 30"
2020-10-09 18:20:45,2020-10-09 18:20:45,39.04933,-95.07633,33,127,5960.06,"05 4.88 -1 5960 31"
2020-10-09 18:22:43,2020-10-09 18:22:43,39.04267,-95.06533,35,125,6155.13,"05 4.92 -1 6155 32"
2020-10-09 18:24:42,2020-10-09 18:24:42,39.03683,-95.05333,37,119,6356.30,"07 4.88 -1 6356 33"
2020-10-09 18:26:42,2020-10-09 18:26:42,39.03150,-95.03883,44,115,6558.08,"08 4.90 -3 6558 34"
2020-10-09 18:28:41,2020-10-09 18:28:41,39.02583,-95.02317,50,111,6759.24,"08 4.88 -4 6759 35"
