time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:21:47,2020-10-09 17:21:47,38.86250,-76.97267,22,39,719.02,"05 4.64 18 719 5"
2020-10-09 17:23:48,2020-10-09 17:23:48,38.86750,-76.96633,20,49,865.94,"06 4.64 18 866 6"
2020-10-09 17:25:52,2020-10-09 17:25:52,38.87100,-76.96000,19,64,989.99,"08 4.62 18 990 7"
2020-10-09 17:27:53,2020-10-09 17:27:53,38.87350,-76.95350,15,54,1159.76,"08 4.70 17 1160 8"
2020-10-09 17:29:53,2020-10-09 17:29:53,38.87667,-76.94933,13,40,1357.88,"10 4.74 16 1358 9"
2020-10-09 17:31:45,2020-10-09 17:31:45,38.87867,-76.94550,7,67,1539.85,"10 4.72 15 1540 10"
2020-10-09 17:33:44,2020-10-09 17:33:44,38.87917,-76.94400,2,244,1705.97,"10 4.76 13 1706 11"
2020-10-09 17:35:47,2020-10-09 17:35:47,38.87733,-76.94283,11,142,1881.84,"10 4.78 15 1882 12"
2020-10-09 17:37:51,2020-10-09 17:37:51,38.87350,-76.93817,30,127,2079.96,"10 4.74 14 2080 13"
2020-10-09 17:39:48,2020-10-09 17:39:48,38.86767,-76.92983,26,145,2244.85,"09 4.72 15 2245 14"
2020-10-09 17:41:48,2020-10-09 17:41:48,38.86067,-76.92467,22,149,2396.03,"10 4.70 14 2396 15"
2020-10-09 17:43:53,2020-10-09 17:43:53,38.85483,-76.91917,19,141,2566.11,"10 4.74 14 2566 16"
2020-10-09 17:47:52,2020-10-09 17:47:52,38.84417,-76.90333,33,125,2859.94,"10 4.78 12 2860 18"
2020-10-09 17:49:44,2020-10-09 17:49:44,38.83933,-76.89267,33,109,3019.04,"10 4.72 12 3019 19"
2020-10-09 17:51:48,2020-10-09 17:51:48,38.83467,-76.88083,30,116,3176.93,"10 4.74 10 3177 20"
2020-10-09 17:53:50,2020-10-09 17:53:50,38.83083,-76.86833,33,106,3332.99,"10 4.66 10 3333 21"
2020-10-09 17:57:45,2020-10-09 17:57:45,38.81950,-76.83817,46,126,3628.95,"10 4.74 11 3629 23"
2020-10-09 17:59:51,2020-10-09 17:59:51,38.81133,-76.82217,56,126,3759.10,"10 4.80 9 3759 24"
2020-10-09 18:01:47,2020-10-09 18:01:47,38.80250,-76.80533,54,124,3902.05,"10 4.72 8 3902 25"
2020-10-09 18:03:53,2020-10-09 18:03:53,38.79433,-76.78767,52,121,4063.90,"10 4.78 5 4064 26"
2020-10-09 18:05:52,2020-10-09 18:05:52,38.78583,-76.77050,50,118,4221.18,"10 4.80 8 4221 27"
2020-10-09 18:07:53,2020-10-09 18:07:53,38.77700,-76.75300,54,127,4360.16,"09 4.80 7 4360 28"
2020-10-09 18:11:47,2020-10-09 18:11:47,38.76167,-76.71433,54,109,4621.07,"09 4.78 7 4621 30"
2020-10-09 18:13:51,2020-10-09 18:13:51,38.75600,-76.69433,56,109,4750.00,"09 4.76 7 4750 31"
2020-10-09 18:15:49,2020-10-09 18:15:49,38.75017,-76.67500,50,114,4874.97,"09 4.74 9 4875 32"
2020-10-09 18:17:48,2020-10-09 18:17:48,38.74333,-76.65600,56,115,5002.99,"09 4.76 10 5003 33"
2020-10-09 18:19:48,2020-10-09 18:19:48,38.73633,-76.63567,57,112,5134.05,"09 4.76 8 5134 34"
2020-10-09 18:21:47,2020-10-09 18:21:47,38.73033,-76.61333,63,106,5252.01,"09 4.72 8 5252 35"
2020-10-09 18:23:50,2020-10-09 18:23:50,38.72517,-76.58967,65,105,5367.22,"09 4.74 10 5367 36"
2020-10-09 18:25:45,2020-10-09 18:25:45,38.71967,-76.56467,69,106,5487.01,"09 4.74 8 5487 37"
2020-10-09 18:27:45,2020-10-09 18:27:45,38.71433,-76.53817,70,104,5588.20,"09 4.76 7 5588 38"
2020-10-09 18:31:46,2020-10-09 18:31:46,38.70350,-76.48533,69,108,5787.24,"09 4.80 8 5787 40"
2020-10-09 18:33:48,2020-10-09 18:33:48,38.69667,-76.46067,65,110,5897.27,"09 4.74 6 5897 41"
2020-10-09 18:35:51,2020-10-09 18:35:51,38.68933,-76.43850,63,113,5991.15,"09 4.78 6 5991 42"
2020-10-09 18:37:53,2020-10-09 18:37:53,38.68150,-76.41567,65,114,6078.02,"09 4.72 7 6078 43"
2020-10-09 18:39:49,2020-10-09 18:39:49,38.67383,-76.39200,67,111,6170.07,"09 4.80 8 6170 44"
2020-10-09 18:41:47,2020-10-09 18:41:47,38.66717,-76.36767,67,107,6251.14,"09 4.78 6 6251 45"
2020-10-09 18:43:44,2020-10-09 18:43:44,38.66067,-76.34283,67,108,6319.11,"09 4.78 6 6319 46"
2020-10-09 18:45:53,2020-10-09 18:45:53,38.65383,-76.31833,65,110,6382.21,"09 4.80 6 6382 47"
2020-10-09 18:47:49,2020-10-09 18:47:49,38.64717,-76.29583,61,110,6440.12,"09 4.76 7 6440 48"
2020-10-09 18:49:52,2020-10-09 18:49:52,38.64050,-76.27467,57,111,6500.16,"09 4.82 8 6500 49"
2020-10-09 18:51:48,2020-10-09 18:51:48,38.63400,-76.25417,56,111,6574.23,"09 4.68 5 6574 50"
2020-10-09 18:53:49,2020-10-09 18:53:49,38.62750,-76.23400,56,112,6618.12,"08 4.76 10 6618 51"
2020-10-09 18:55:50,2020-10-09 18:55:50,38.62100,-76.21417,56,112,6647.08,"09 4.78 7 6647 52"
2020-10-09 18:57:50,2020-10-09 18:57:50,38.61450,-76.19483,54,113,6697.07,"11 4.76 13 6697 53"
2020-10-09 18:59:52,2020-10-09 18:59:52,38.60783,-76.17617,52,114,6744.31,"09 4.72 11 6744 54"
2020-10-09 19:01:50,2020-10-09 19:01:50,38.60133,-76.15800,50,114,6796.13,"10 4.70 7 6796 55"
2020-10-09 19:03:44,2020-10-09 19:03:44,38.59483,-76.14000,52,114,6851.29,"09 4.78 6 6851 56"
2020-10-09 19:05:52,2020-10-09 19:05:52,38.58833,-76.12200,50,115,6897.32,"09 4.74 9 6897 57"
2020-10-09 19:07:49,2020-10-09 19:07:49,38.58133,-76.10400,54,115,6959.19,"09 4.80 8 6959 58"
2020-10-09 19:11:50,2020-10-09 19:11:50,38.56783,-76.06550,56,112,7095.13,"09 4.80 10 7095 60"
2020-10-09 19:13:51,2020-10-09 19:13:51,38.56133,-76.04517,57,111,7144.21,"09 4.78 5 7144 61"
2020-10-09 19:15:49,2020-10-09 19:15:49,38.55483,-76.02367,61,110,7187.18,"09 4.76 4 7187 62"
2020-10-09 19:17:45,2020-10-09 19:17:45,38.54850,-76.00150,61,109,7216.14,"09 4.64 11 7216 63"
2020-10-09 19:19:52,2020-10-09 19:19:52,38.54200,-75.97950,61,110,7238.09,"09 4.66 5 7238 64"
2020-10-09 19:21:49,2020-10-09 19:21:49,38.53550,-75.95733,61,110,7266.13,"09 4.70 9 7266 65"
2020-10-09 19:23:50,2020-10-09 19:23:50,38.52900,-75.93483,61,109,7304.23,"08 4.58 5 7304 66"
2020-10-09 19:25:48,2020-10-09 19:25:48,38.52283,-75.91217,63,108,7340.19,"09 4.58 5 7340 67"
2020-10-09 19:27:50,2020-10-09 19:27:50,38.51683,-75.88900,63,108,7354.21,"09 4.62 2 7354 68"
2020-10-09 19:29:53,2020-10-09 19:29:53,38.51083,-75.86583,63,107,7377.07,"10 4.72 5 7377 69"
2020-10-09 19:31:50,2020-10-09 19:31:50,38.50533,-75.84233,63,106,7404.20,"10 4.68 7 7404 70"
2020-10-09 19:33:53,2020-10-09 19:33:53,38.50017,-75.81883,63,105,7422.18,"10 4.72 9 7422 71"
2020-10-09 19:35:46,2020-10-09 19:35:46,38.49500,-75.79500,65,105,7452.36,"10 4.58 7 7452 72"
2020-10-09 19:41:08,2020-10-09 19:41:08,38.48483,-75.74550,67,104,7508.14,"10 4.70 7 7508 74"
2020-10-09 19:41:47,2020-10-09 19:41:47,38.47983,-75.72067,67,104,7518.20,"10 4.68 8 7518 75"
2020-10-09 19:43:52,2020-10-09 19:43:52,38.47467,-75.69583,67,104,7516.06,"10 4.56 4 7516 76"
2020-10-09 19:45:53,2020-10-09 19:45:53,38.46950,-75.67117,65,105,7493.20,"08 4.62 3 7493 77"
2020-10-09 19:47:46,2020-10-09 19:47:46,38.46400,-75.64667,67,105,7510.27,"10 4.56 0 7510 78"
2020-10-09 19:49:47,2020-10-09 19:49:47,38.45833,-75.62217,67,106,7517.28,"09 4.64 4 7517 79"
2020-10-09 19:51:45,2020-10-09 19:51:45,38.45267,-75.59783,65,106,7501.13,"09 4.54 4 7501 80"
2020-10-09 19:53:47,2020-10-09 19:53:47,38.44700,-75.57367,65,106,7499.30,"09 4.48 6 7499 81"
2020-10-09 19:55:52,2020-10-09 19:55:52,38.44133,-75.54950,67,106,7521.24,"09 4.60 8 7521 82"
2020-10-09 19:57:52,2020-10-09 19:57:52,38.43533,-75.52500,67,106,7551.12,"10 4.64 5 7551 83"
2020-10-09 19:59:49,2020-10-09 19:59:49,38.42950,-75.50067,67,106,7598.36,"10 4.66 7 7598 84"
2020-10-09 20:01:51,2020-10-09 20:01:51,38.42367,-75.47617,67,106,7655.36,"10 4.44 8 7655 85"
2020-10-09 20:03:47,2020-10-09 20:03:47,38.41767,-75.45133,67,106,7632.19,"10 4.62 3 7632 86"
2020-10-09 20:05:47,2020-10-09 20:05:47,38.41183,-75.42667,67,107,7599.27,"10 4.50 7 7599 87"
2020-10-09 20:07:45,2020-10-09 20:07:45,38.40583,-75.40217,67,107,7619.09,"10 4.52 7 7619 88"
2020-10-09 20:09:49,2020-10-09 20:09:49,38.39950,-75.37733,69,107,7619.09,"10 4.30 2 7619 89"
2020-10-09 20:11:53,2020-10-09 20:11:53,38.39333,-75.35233,69,107,7593.18,"10 4.42 -2 7593 90"
2020-10-09 20:13:50,2020-10-09 20:13:50,38.38700,-75.32717,69,107,7609.33,"11 4.52 2 7609 91"
2020-10-09 20:15:50,2020-10-09 20:15:50,38.38067,-75.30167,70,108,7629.14,"10 4.48 5 7629 92"
2020-10-09 20:17:44,2020-10-09 20:17:44,38.37417,-75.27600,70,108,7618.17,"11 4.58 4 7618 93"
2020-10-09 20:19:51,2020-10-09 20:19:51,38.36767,-75.25067,69,107,7599.27,"12 4.54 5 7599 94"
2020-10-09 20:23:49,2020-10-09 20:23:49,38.35533,-75.20033,69,106,7623.35,"12 4.22 6 7623 96"
2020-10-09 20:25:46,2020-10-09 20:25:46,38.34933,-75.17517,69,106,7624.27,"12 4.48 4 7624 97"
2020-10-09 20:29:50,2020-10-09 20:29:50,38.33733,-75.12517,67,107,7610.25,"11 4.26 -1 7610 99"
2020-10-09 20:31:52,2020-10-09 20:35:48,38.33117,-75.10050,67,107,7610.25,"11 4.10 -3 7610 100"
2020-10-09 20:37:46,2020-10-09 20:37:46,38.31233,-75.02500,70,108,7604.15,"11 4.12 -1 7604 103"
2020-10-09 20:39:50,2020-10-09 20:39:50,38.30567,-74.99933,69,108,7598.36,"11 3.62 -3 7598 104"
2020-10-09 20:41:48,2020-10-09 20:41:48,38.29867,-74.97450,69,109,7581.29,"11 3.88 -6 7581 105"
2020-10-09 20:43:53,2020-10-09 20:43:53,38.29183,-74.94983,69,109,7581.29,"10 4.04 -1 7581 106"
2020-10-09 20:45:51,2020-10-09 20:45:51,38.28517,-74.92500,69,108,7592.26,"11 3.28 2 7592 107"
2020-10-09 20:49:45,2020-10-09 20:49:45,38.27200,-74.87567,67,108,7579.16,"11 4.38 1 7579 109"
2020-10-09 20:51:52,2020-10-09 20:51:52,38.26550,-74.85117,67,108,7599.27,"10 4.00 1 7599 110"
2020-10-09 20:53:45,2020-10-09 20:53:45,38.25933,-74.82633,69,107,7626.10,"10 4.42 2 7626 111"
2020-10-09 20:55:49,2020-10-09 20:55:49,38.25283,-74.80183,67,108,7617.26,"09 4.44 2 7617 112"
2020-10-09 20:57:47,2020-10-09 20:57:47,38.24633,-74.77733,67,108,7602.32,"09 3.90 1 7602 113"
