time,lasttime,lat,lng,speed,course,altitude,comment
2020-10-09 17:38:40,2020-10-09 17:38:40,43.46400,-123.27933,20,31,1274.98,"11 4.50 27 1275 12"
2020-10-09 17:40:43,2020-10-09 17:40:43,43.47017,-123.27400,24,28,1379.83,"11 4.50 26 1380 13"
2020-10-09 17:42:40,2020-10-09 17:42:40,43.47767,-123.26900,30,23,1471.88,"11 4.56 25 1472 14"
2020-10-09 17:44:41,2020-10-09 17:44:41,43.48533,-123.26450,26,24,1586.79,"12 4.60 25 1587 15"
2020-10-09 17:46:45,2020-10-09 17:46:45,43.49300,-123.25917,28,26,1705.97,"12 4.60 25 1706 16"
2020-10-09 17:48:43,2020-10-09 17:48:43,43.50067,-123.25483,28,23,1798.93,"12 4.54 24 1799 17"
2020-10-09 17:50:44,2020-10-09 17:50:44,43.50817,-123.25033,24,26,1898.90,"12 4.58 24 1899 18"
2020-10-09 17:52:36,2020-10-09 17:52:36,43.51533,-123.24433,26,39,2004.97,"12 4.58 23 2005 19"
2020-10-09 17:54:40,2020-10-09 17:54:40,43.52150,-123.23667,28,41,2097.94,"12 4.56 23 2098 20"
2020-10-09 17:56:42,2020-10-09 17:56:42,43.52833,-123.22917,28,32,2182.06,"12 4.56 22 2182 21"
2020-10-09 17:58:37,2020-10-09 17:58:37,43.53467,-123.22250,24,42,2296.06,"12 4.60 21 2296 22"
2020-10-09 18:04:39,2020-10-09 18:04:39,43.55017,-123.20167,26,41,2716.99,"11 4.62 19 2717 25"
2020-10-09 18:06:45,2020-10-09 18:06:45,43.55667,-123.19450,26,35,2823.97,"09 4.66 19 2824 26"
2020-10-09 18:08:44,2020-10-09 18:08:44,43.56383,-123.18800,28,35,2938.88,"10 4.64 18 2939 27"
2020-10-09 18:10:45,2020-10-09 18:10:45,43.57117,-123.18050,33,37,3054.10,"10 4.66 17 3054 28"
2020-10-09 18:12:38,2020-10-09 18:12:38,43.57967,-123.17200,33,34,3159.86,"10 4.66 17 3160 29"
2020-10-09 18:14:39,2020-10-09 18:14:39,43.58850,-123.16367,35,33,3255.87,"11 4.74 17 3256 30"
2020-10-09 18:16:43,2020-10-09 18:16:43,43.59833,-123.15467,41,32,3347.01,"11 4.72 17 3347 31"
2020-10-09 18:18:41,2020-10-09 18:18:41,43.60917,-123.14517,43,40,3464.05,"11 4.68 17 3464 32"
2020-10-09 18:20:40,2020-10-09 18:20:40,43.61900,-123.13200,50,45,3605.17,"11 4.66 16 3605 33"
2020-10-09 18:22:40,2020-10-09 18:22:40,43.63017,-123.11750,50,41,3767.02,"11 4.68 14 3767 34"
2020-10-09 18:24:39,2020-10-09 18:24:39,43.64200,-123.10317,54,40,3927.96,"11 4.78 13 3928 35"
2020-10-09 18:26:42,2020-10-09 18:26:42,43.65467,-123.08900,54,39,4089.20,"11 4.68 14 4089 36"
2020-10-09 18:28:37,2020-10-09 18:28:37,43.66750,-123.07367,57,41,4258.06,"11 4.70 12 4258 37"
2020-10-09 18:30:37,2020-10-09 18:30:37,43.68100,-123.05750,59,39,4433.93,"11 4.74 9 4434 38"
2020-10-09 18:32:37,2020-10-09 18:32:37,43.69483,-123.04200,57,39,4596.08,"11 4.78 9 4596 39"
2020-10-09 18:34:38,2020-10-09 18:34:38,43.70817,-123.02533,57,46,4738.12,"11 4.82 8 4738 40"
2020-10-09 18:36:40,2020-10-09 18:36:40,43.72067,-123.00800,59,45,4866.13,"11 4.74 8 4866 41"
2020-10-09 18:38:43,2020-10-09 18:38:43,43.73300,-122.98917,59,46,4991.10,"11 4.76 5 4991 42"
2020-10-09 18:40:45,2020-10-09 18:40:45,43.74517,-122.97033,59,46,5116.07,"11 4.76 4 5116 43"
2020-10-09 18:42:41,2020-10-09 18:42:41,43.75783,-122.95367,56,42,5253.23,"11 4.84 2 5253 44"
2020-10-09 18:46:36,2020-10-09 18:46:36,43.78483,-122.92467,57,34,5490.97,"12 4.82 2 5491 46"
2020-10-09 18:48:45,2020-10-09 18:48:45,43.79833,-122.91150,46,32,5581.19,"12 4.86 4 5581 47"
2020-10-09 18:50:41,2020-10-09 18:50:41,43.81050,-122.89983,50,32,5692.14,"11 4.86 3 5692 48"
2020-10-09 18:52:44,2020-10-09 18:52:44,43.82233,-122.88833,50,37,5842.10,"11 4.82 0 5842 49"
2020-10-09 18:54:40,2020-10-09 18:54:40,43.83450,-122.87717,44,35,6011.27,"11 4.86 0 6011 50"
2020-10-09 18:56:41,2020-10-09 18:56:41,43.84700,-122.86667,48,28,6178.30,"11 4.90 1 6178 51"
2020-10-09 18:58:42,2020-10-09 18:58:42,43.85983,-122.85683,48,29,6322.16,"11 4.88 1 6322 52"
2020-10-09 19:00:42,2020-10-09 19:00:42,43.87217,-122.84633,48,33,6427.01,"11 4.86 -1 6427 53"
2020-10-09 19:02:44,2020-10-09 19:02:44,43.88500,-122.83667,48,24,6514.19,"11 4.86 1 6514 54"
2020-10-09 19:04:42,2020-10-09 19:04:42,43.89867,-122.82850,50,23,6587.03,"11 4.82 1 6587 55"
2020-10-09 19:06:36,2020-10-09 19:06:36,43.91300,-122.81967,52,26,6659.27,"11 4.78 0 6659 56"
2020-10-09 19:08:44,2020-10-09 19:08:44,43.92717,-122.80983,52,27,6740.04,"11 4.84 1 6740 57"
2020-10-09 19:10:41,2020-10-09 19:10:41,43.94133,-122.80033,50,25,6816.24,"11 4.86 3 6816 58"
